Media;PostLink;Content;Date;Type;Likes;Comments;Interactions;Engagement;Duracion
;https://www.instagram.com/reel/DcaXhGMgLco/;Pareja comunitaria en España: no se aplica la misma normativa que con una pareja española📲 WhatsApp:  34 672 34 55 35. Si tu pareja es ciudadana de la Unión Europea y quieres saber cómo afecta eso a tu residencia, puedes contactar con nuestro equipo.Durante esta serie hemos hablado de parejas de personas españolas.Pero ¿qué ocurre cuando tu pareja es italiana, francesa, alemana, belga o tiene la nacionalidad de otro país de la Unión Europea?Seguimos hablando de una autorización de residencia y, como norma general, de una autorización de 5 años.Sin embargo, la normativa que se aplica cambia.Y cuando cambia el régimen jurídico, también pueden cambiar los requisitos y la estrategia.Eso no significa que tengas que empezar de cero.Como ocurre con las parejas españolas, tendrás que acreditar el vínculo con tu pareja.La diferencia está en que no todas las parejas internacionales se regulan por las mismas normas.#lexborders #ParejaComunitaria #UniónEuropea #ExtranjeríaEspaña #residenciaespaña;2026-08-24 00:59;Reel;72;1;73;3.97;1:38
;https://www.instagram.com/reel/DcSpQbQlzLM/;"NIE blanco en España: el error que casi todos cometen al llegar📲 WhatsApp:  34 672 34 55 35. Si estás preparando tu viaje a España y quieres saber cuál es la mejor estrategia para tu caso, puedes contactar con nuestro equipo.Uno de los consejos que más se repite en redes sociales es:""Llega a España y saca el NIE blanco.""Pero casi nadie explica qué es realmente ese documento.El NIE blanco no es un permiso de residencia.Tampoco es un permiso de trabajo.Es un certificado donde aparece tu número de identidad de extranjero para determinados trámites.Y el verdadero error empieza mucho antes.Pensar que todas las personas deben seguir exactamente los mismos pasos.No es lo mismo venir como turista, estudiante, con una oferta de trabajo, como familiar de un español o de un ciudadano de la Unión Europea, o con la intención de emprender.Por eso, antes de viajar y antes de copiar lo que hizo otra persona, lo primero debería ser conocer qué opciones existen para tu caso.Porque una decisión importante no debería tomarse siguiendo un vídeo de 30 segundos.#NIEBlanco #ExtranjeríaEspaña #MigrarAEspaña #ResidenciaEspaña #Lexborders";2026-08-21 01:01;Reel;223;23;246;;3:28
;https://www.instagram.com/reel/DcQEfUlFexQ/;Canje de estancia por estudios a residencia y trabajo: el plazo que no puedes dejar pasar📲 WhatsApp:  34 672 34 55 35. Si estás preparando el canje de tu estancia por estudios, podemos ayudarte a planificar el procedimiento.Si quieres pasar de una estancia por estudios a una residencia y trabajo, lo primero que debes conocer son los plazos.Puedes presentar el canje:✔️ 60 días antes de que caduque tu estancia.✔️ 90 días después de su vencimiento.O, si has finalizado antes el curso, cuando hayas terminado los estudios.Para presentar la solicitud tendrás que acreditar la finalización de los estudios mediante un certificado emitido por el centro.Después podrás optar por dos vías:Cuenta ajena, presentando un contrato que cumpla los requisitos exigidos por la normativa.Cuenta propia, presentando un plan de negocio acompañado de un informe de valoración de ATA o UPTA.Lo importante es no esperar al último momento.Porque un contrato de trabajo no aparece de un día para otro y un plan de negocio tampoco se prepara en unos días.#EstanciaPorEstudios #ResidenciaYTrabajo #ExtranjeríaEspaña  #Lexborders;2026-08-20 01:01;Reel;168;6;174;;2:38
;https://www.instagram.com/reel/DcOrKvWEUrI/;WhatsApp:  34 672 34 55 35. Recordatorio amistoso para quienes estáis preparando vuestra llegada a España y no sois ciudadanos de la Unión Europea o no tenéis un permiso de conducción expedido en la UE.Si prevéis que vais a conducir, informaos antes de viajar sobre el permiso internacional de conducción y si os corresponde obtenerlo.Porque luego empiezan las dudas:“Es que mi permiso de mi país es válido durante seis meses”.“Es que me dijeron que podía conducir”.“Es que yo pensaba que…”Y terminamos intentando solucionar después algo que podíamos haber preparado antes de subirnos al avión.El permiso internacional tiene una validez de un año. Sí, físicamente es bastante grande. Y no, probablemente la fotografía no vaya a convertirse en tu nueva foto de Tinder.Pero cumple su función.En mi caso, además, el procedimiento ha sido bastante sencillo.Lo gestioné digitalmente desde España a través de la DGT.Hice el trámite un domingo a las 10 de la noche.El martes ya estaba gestionado.Y el jueves fui a recogerlo.Nada de pasar horas haciendo gestiones presenciales.Simplemente:Hola.Soy yo.Que soy yo.Vengo a recogerlo.Y listo.Así que si estás organizando tu llegada a España y sabes que vas a necesitar conducir, añade este punto a tu lista antes de viajar.Infórmate.Comprueba qué documentación necesitas.Y si necesitas el permiso internacional, intenta llevarlo preparado desde tu país.Porque prevenir un problema siempre suele salir bastante más barato que solucionarlo después.Y las multas son una forma bastante absurda de gastar dinero.Como decimos siempre: si quieres esponsorizar a alguien, no esponsorices al Estado.Esponsorízate a ti mismo.Y si realmente tienes muchísimo interés en regalar dinero, siempre aceptamos desayunos para el equipo de Lexborders.La comida nunca falla.Portaos bien.Un besito.#PermisoInternacional #ConducirEnEspaña #ExtranjeríaEspaña #VivirEnEspaña #España #lexborders;2026-08-19 12:00;Reel;302;16;318;;1:12
;https://www.instagram.com/reel/DcNfic2EuqE/;Estancia por estudios en España: 2 errores sobre el permiso de trabajo que debes evitar📲 WhatsApp:  34 672 34 55 35. Si tienes dudas sobre el permiso de trabajo con una estancia por estudios, puedes contactar con nuestro equipo.Con una estancia por estudios en España hay dos errores que se repiten una y otra vez.El primero es pensar que el trabajo tiene que estar relacionado con los estudios.No es así.Con una estancia por estudios puedes trabajar hasta 30 horas semanales y la ley no exige que exista esa relación.Lo importante es que puedas continuar tus estudios con normalidad.El segundo error es creer que puedes trabajar en cualquier lugar de España.Como norma general, la autorización queda vinculada a la comunidad autónoma donde solicitaste la estancia por estudios, aunque puede extenderse a territorios colindantes.Antes de aceptar un empleo, revisa el ámbito territorial de tu autorización.#EstanciaPorEstudios #TrabajarEnEspaña #ExtranjeríaEspaña #EstudiarEnEspaña #Lexborders;2026-08-19 00:59;Reel;220;12;232;;1:42
;https://www.instagram.com/reel/DcK6z3QgmMa/;Estancia por estudios en España: los dos plazos que debes cumplir para solicitarla📲 WhatsApp:  34 672 34 55 35. Si tienes dudas sobre los plazos de tu estancia por estudios, podemos ayudarte a revisarlos antes de presentar el expediente.Uno de los errores más frecuentes es pensar que sólo importa estar dentro de los primeros 30 días desde la entrada a España.No es así.Para solicitar una estancia por estudios desde España debes cumplir dos plazos al mismo tiempo.El primero es presentar la solicitud dentro de los 30 primeros días desde tu entrada.El segundo es respetar los 60 días de antelación respecto al inicio del curso.Eso significa que puedes cumplir uno de los requisitos y, aun así, quedar fuera por el otro.Por eso no basta con fijarse en cuándo termina tu estancia como turista.También debes comprobar cuándo empieza el curso.La planificación es tan importante como la documentación.#EstanciaPorEstudios #EstudiarEnEspaña #ExtranjeríaEspaña #TuristaAEstudiante #Lexborders;2026-08-18 01:00;Reel;109;7;116;;2:16
;https://www.instagram.com/reel/DcJhm58mTWM/;WhatsApp:  34 672 34 55 35. Autorizaciones de regreso. Lo explicamos otra vez porque estamos en agosto y esta pregunta se está convirtiendo en una constante.Si estás prorrogando o modificando una autorización, ya has presentado esa prórroga o modificación y necesitas viajar, en principio tendrías que solicitar una autorización de regreso.Pero existe una cuestión importante durante estos meses: la Instrucción 1/2026 de la Policía.Esta instrucción permite que, si has presentado tu renovación o modificación, puedas entrar y salir directamente desde España sin autorización de regreso entre junio y el 30 de septiembre, siempre que cumplas las condiciones previstas.Y aquí las fechas importan.“Es que regreso el 1 de octubre”.Entonces ya estamos fuera de ese periodo.Autorización de regreso.Y atención también a la ruta del viaje.Si vas a acogerte a lo establecido en la instrucción, asegúrate de que tu vuelo de regreso entre directamente por España. No prepares un itinerario en el que tu entrada se produzca primero por otro país.Además, no te limites a confiar en que todo el mundo conozca la instrucción.Lleva contigo el resguardo que acredita que has presentado tu renovación o modificación.Y lleva también la Instrucción 1/2026 de la Policía.Descárgala.Imprímela.Y llévala contigo.Porque es un documento público y puedes consultarlo tú mismo.Así que antes de entrar en pánico porque tienes que viajar en agosto, revisa exactamente tu situación, comprueba las fechas y asegúrate de cumplir las condiciones.Junio a 30 de septiembre.Renovación o modificación presentada.Entrada y salida directamente desde España.Resguardo del trámite.Instrucción impresa.Y si tu regreso ya es el 1 de octubre, la respuesta cambia.#lexborders #autorizacionesderegreso #PoliciaNacional #tramitesdeextranjeria;2026-08-17 12:01;Reel;177;4;181;;1:19
;https://www.instagram.com/reel/DcIWBHulV1a/;"Estancia por estudios en España: el error de confiar en que ""ese curso sirve para Extranjería""📲 WhatsApp:  34 672 34 55 35. Antes de matricularte, podemos revisar si el curso que has elegido realmente permite solicitar una estancia por estudios.Hay una frase que escuchamos constantemente:""El centro me dijo que este curso sirve para Extranjería.""Y muchas veces, ahí empieza el problema.Que un centro anuncie un curso como válido para solicitar una estancia por estudios en España no significa que realmente cumpla los requisitos que exige la normativa.Como norma general, la solicitud de estancia por estudios desde España se realiza con estudios superiores.Dentro de esa categoría pueden encontrarse estudios universitarios, formación profesional de grado superior, títulos propios, másteres, doctorados y otras enseñanzas superiores reconocidas.Antes de pagar una matrícula conviene comprobar qué tipo de enseñanza es, si el centro está autorizado, la modalidad de los estudios, la duración del programa y si la formación cumple las condiciones necesarias para sostener una solicitud de estancia por estudios.Porque muchas personas pierden la matrícula, el tiempo y el dinero por empezar el expediente con un curso que no era válido.#EstanciaPorEstudios #CursosEspaña #ExtranjeríaEspaña #EstudiarEnEspaña #Lexborders";2026-08-17 01:00;Reel;169;10;179;;2:41
;https://www.instagram.com/reel/DcBzRx3kkUO/;WhatsApp:  34 672 34 55 35. “Vinieron, nos colonizaron, nos quitaron el oro y ahora nos vais a tener que aguantar”.Bueno.Yo te prometo, palabrita del Niño Jesús, que personalmente no he colonizado absolutamente a nadie.No he ido a conquistar ningún país.No he ido a Gibraltar a decir que es español.Tampoco participé en lo del Perejil.Y existe otro pequeño inconveniente en toda esta historia: yo nunca he visto una pepita de oro.A mí ese oro no me ha llegado.Si hubiera nacido rodeada de lingotes, podríamos sentarnos a hablar del asunto. Pero no ha ocurrido.Así que propongo una solución bastante razonable: si vienes a España, encuentras el oro y resulta que estaba escondido aquí todo este tiempo, avísame.Vamos a medias.Lo apañamos entre todos.Ahora bien, también conviene recordar que estamos hablando de acontecimientos ocurridos hace aproximadamente 500 años.Y podemos entrar en una discusión interminable sobre quién conquistó a quién, quién invadió qué territorio, qué hicieron nuestros antepasados o dónde estaba cada familia hace varios siglos.Pero ninguno de nosotros eligió dónde nacieron sus antepasados.Yo tengo mis raíces familiares en Aragón y Cataluña. Sé que algún antepasado muy, muy, muy lejano estuvo en la guerra de Cuba. Y también existe una plaza en Vilanova i la Geltrú con el nombre de un señor Gustems al que, evidentemente, nunca conocí.Hasta ahí llega mi participación personal en varios siglos de historia.La pepita sigue sin aparecer.Así que, con todo el respeto y cariño del mundo, si estás realizando un procedimiento de extranjería conmigo, tenemos una prioridad bastante más inmediata.Dame los papeles a tiempo para que pueda tramitar tu expediente.Si además encuentras el oro, hablamos.Venga, un besito.#InmigraciónEspaña  #ExtranjeríaEspaña  #trámitesextranjería  #AbogadosExtranjería  #españa🇪🇸 #lexborders;2026-08-14 12:01;Reel;499;0;499;;1:51
;https://www.instagram.com/reel/DcAnmsrAI40/;Estancia por estudios en España: no todos los cursos permiten modificar a residencia y trabajo📲 WhatsApp:  34 672 34 55 35. Si quieres saber si el curso que vas a estudiar permite modificar a residencia y trabajo, puedes contactar con nuestro equipo.Uno de los errores más frecuentes es pensar que cualquier estancia por estudios permite modificar después a residencia y trabajo.Y no es así.En este vídeo hablamos de la Instrucción SEM 3/2025 y de por qué algunos estudios, como los cursos de idiomas, no permiten acceder directamente a la modificación del artículo 190.También explicamos una de las alternativas que puede plantearse antes de que finalice la estancia: solicitar una nueva estancia por estudios inicial con un curso que sí permita trabajar y modificar en el futuro.Además, recuerda que, en el caso de los certificados de profesionalidad, sólo los de nivel 2 y 3 permiten modificar. Los de nivel 1 no.Antes de iniciar cualquier estudio, infórmate de las consecuencias que puede tener esa elección.#EstanciaPorEstudios #Artículo190 #ExtranjeríaEspaña #EstudiarEnEspaña #Lexborders;2026-08-14 01:00;Reel;170;10;180;;1:41
